10945	10198
804	1456
10937	10190
4518	4580
10872	10176
4305	4483
10860	10164
4282	4460
10848	10152
4511	4573
10825	10134
4498	4561
10824	10133
10823	4558
10822	10132
4214	4409
10826	10135
684	1396
10755	10119
646	1386
10757	10121
663	1387
10732	10113
670	1391
10816	10128
1335	1986
10649	10109
529	1378
10497	9957
362	1211
10484	9944
349	1198
10422	9882
289	1138
10402	9862
3397	3858
10407	9867
3422	3883
10408	9868
3442	3903
10437	9897
3467	3928
10449	9909
3480	3941
10404	9864
3388	3849
8967	8630
6320	6378
8999	8662
6373	6431
8990	8653
6358	6416
8980	8643
6338	6396
8968	8631
6282	6340
8969	8632
6290	6348
8970	8633
1714	2365
8956	8619
1774	2425
9036	8699
1787	2438
8931	8594
1954	2605
9203	8866
2760	3221
9235	8874
2095	2622
9366	8892
2088	2616
9243	8876
2071	2614
9342	8888
2109	2627
9381	8897
7107	6897
9377	8894
9378	6894
9380	8896
7385	7051
9379	8895
7149	6928
9406	8918
7175	6950
9419	8931
7200	6975
9432	8944
7343	7009
9501	8962
2229	2690
9510	8971
7375	7041
9509	8970
7350	7016
9508	8969
7374	7040
9507	8968
7348	7014
9506	8967
7352	7018
9505	8966
7346	7012
9504	8965
7379	7045
9512	8973
7366	7032
9513	8974
4475	4540
10947	10200
4492	4557
10940	10193
4458	4523
10939	10192
4485	4550
10942	10195
4482	4547
10941	10194
4486	4551
10944	10197
4462	4527
10943	10196
4467	4532
